NameofPlayer,Club,Position,Nationality,FootPreference,JerseyNumber,YellowCardsReceived,RedCardsReceived,ContractStatus,InjuryStatus,League,CaptaincyStatus,TransferStatus,PerformanceRating,CompetitionType,Age,Height,Weight,NumberofGoals,NumberofAssists,NumberofAppearances,MinutesPlayed,PassCompletionPercentage,ShotsonTarget,NumberofFoulsCommitted,DribblesCompleted,CrossesCompleted,TacklesMade,Interceptions,Clearances
Gabriel Martinelli,Tottenham Hotspur,Goalkeeper,Spanish,Both,40,4,4,On Loan,Suspended,On Loan,Yes,On Transfer List,Excellent,EPL,24,185,69,10,2,179,17810,97.59,88,71,65,51,63,8,96
N'Golo Kante,Manchester United,Forward,French,Right,64,4,3,Expiring,Injured,EPL,No,Not On Transfer List,Excellent,UEFA Champions League,22,195,93,31,3,148,6362,53.54,26,64,12,25,36,1,73
Harry Maguire,Manchester City,Forward,Argentinian,Left,47,1,0,Expiring,Suspended,EPL,No,On Transfer List,Average,EPL,20,195,96,30,19,59,17017,61.73,98,74,34,35,58,36,84
N'Golo Kante,Manchester City,Forward,Spanish,Right,47,0,3,On Loan,Suspended,EPL,Yes,On Transfer List,Excellent,UEFA Champions League,32,176,68,43,9,31,4696,88.55,39,7,54,44,134,33,92
Paul Pogba,Leicester City,Midfielder,Portuguese,Right,79,10,3,Expiring,Suspended,On Loan,Yes,On Transfer List,Average,EPL,25,161,80,9,5,253,14099,94.92,23,84,33,75,55,39,140
Diogo Jota,Manchester United,Forward,Brazilian,Left,10,14,4,Active,Injured,EPL,No,Not On Transfer List,Average,EPL,20,187,98,34,6,14,25940,76.31,53,88,36,68,97,92,8
Granit Xhaka,Tottenham Hotspur,Goalkeeper,Spanish,Left,51,1,0,Active,Suspended,On Loan,No,On Transfer List,Poor,UEFA Champions League,38,181,98,44,4,47,8529,56.03,83,2,68,44,104,12,70
Granit Xhaka,Tottenham Hotspur,Forward,French,Left,33,1,1,Expiring,Injured,EPL,Yes,On Transfer List,Good,UEFA Champions League,32,199,61,12,12,96,10933,71.26,86,34,45,5,55,65,36
Harvey Barnes,Arsenal,Midfielder,Argentinian,Right,73,7,0,Expiring,Fit,EPL,No,Not On Transfer List,Excellent,EPL,33,181,87,44,2,16,10341,75.9,71,2,20,74,115,39,4
David de Gea,Tottenham Hotspur,Midfielder,English,Both,85,1,0,On Loan,Fit,On Loan,Yes,On Transfer List,Average,UEFA Champions League,18,167,94,14,9,256,5264,87.73,28,80,68,34,142,19,142
Sadio Mane,Leicester City,Goalkeeper,Argentinian,Left,87,11,1,On Loan,Injured,On Loan,Yes,Not On Transfer List,Good,EPL,38,180,69,27,14,107,26250,63.23,22,66,54,88,136,60,122
Eric Dier,Manchester United,Defender,German,Left,3,3,4,Active,Fit,On Loan,No,On Transfer List,Average,FA Cup,27,179,82,13,16,204,20810,87.74,54,1,97,94,107,65,137
Sadio Mane,Tottenham Hotspur,Forward,Spanish,Left,62,2,0,Active,Injured,EPL,No,Not On Transfer List,Poor,FA Cup,37,175,78,44,11,50,19928,62.12,75,91,94,14,139,6,118
Heung-Min Son,Manchester City,Defender,German,Right,19,9,1,Expiring,Fit,On Loan,No,On Transfer List,Excellent,FA Cup,25,171,92,18,12,121,11418,55.32,9,82,5,60,31,45,36
James Maddison,Liverpool,Midfielder,English,Left,72,14,4,Expiring,Fit,On Loan,Yes,Not On Transfer List,Average,UEFA Champions League,22,169,63,36,19,48,16084,72.23,97,96,64,86,83,70,37
Jordan Henderson,Manchester City,Defender,English,Right,8,11,0,Active,Suspended,EPL,Yes,On Transfer List,Good,EPL,28,170,92,30,0,125,17572,72.65,98,88,88,60,117,81,110
Trent Alexander-Arnold,Tottenham Hotspur,Defender,English,Left,81,13,2,On Loan,Suspended,EPL,No,On Transfer List,Good,EPL,21,186,95,21,7,24,13447,90.67,28,32,28,60,34,13,96
Phil Foden,Manchester City,Goalkeeper,English,Right,95,0,4,Expiring,Suspended,On Loan,No,Not On Transfer List,Excellent,UEFA Champions League,21,188,78,27,7,255,13429,63.68,64,62,19,9,73,75,101
Kasper Schmeichel,Arsenal,Midfielder,Portuguese,Left,76,6,2,On Loan,Fit,On Loan,No,On Transfer List,Average,EPL,28,166,91,15,13,287,2416,52.94,75,95,61,19,98,31,31
David de Gea,Arsenal,Goalkeeper,German,Both,61,14,1,Active,Fit,On Loan,Yes,On Transfer List,Average,FA Cup,31,171,91,11,0,82,1249,56.03,56,4,29,67,109,39,87
Trent Alexander-Arnold,Manchester United,Goalkeeper,German,Right,29,1,4,Expiring,Injured,EPL,No,Not On Transfer List,Good,FA Cup,33,175,88,0,14,276,19545,98.36,10,12,34,25,16,70,74
Eric Dier,Liverpool,Forward,English,Left,36,5,4,Expiring,Suspended,EPL,No,On Transfer List,Poor,EPL,23,165,95,31,5,45,8517,62.69,80,12,75,4,25,22,65
Giovani Lo Celso,Manchester City,Midfielder,Spanish,Right,94,14,4,On Loan,Suspended,On Loan,Yes,On Transfer List,Average,FA Cup,29,191,60,48,16,107,20720,88.75,59,56,68,88,146,55,37
Phil Foden,Liverpool,Midfielder,German,Right,19,3,0,Active,Suspended,EPL,No,Not On Transfer List,Average,FA Cup,32,191,64,37,15,87,26111,70.97,70,32,77,56,0,35,103
Cesar Azpilicueta,Tottenham Hotspur,Forward,Brazilian,Right,69,14,1,On Loan,Suspended,On Loan,No,Not On Transfer List,Excellent,EPL,20,193,62,25,3,185,26858,50.1,55,2,1,66,55,71,145
Virgil van Dijk,Manchester United,Defender,Spanish,Right,80,11,3,On Loan,Suspended,EPL,Yes,On Transfer List,Average,UEFA Champions League,24,181,97,32,11,190,17372,82.93,76,72,99,38,25,40,15
Ilkay Gundogan,Manchester City,Forward,German,Both,5,14,1,On Loan,Injured,On Loan,No,Not On Transfer List,Excellent,EPL,20,190,82,30,11,71,10827,65.39,61,28,58,55,106,41,33
Wilfred Ndidi,Arsenal,Defender,German,Left,44,6,0,Expiring,Fit,On Loan,Yes,On Transfer List,Excellent,UEFA Champions League,23,160,62,2,14,0,10020,75.41,5,18,54,43,86,16,100
Ruben Dias,Liverpool,Midfielder,Brazilian,Left,52,14,1,Expiring,Injured,EPL,Yes,Not On Transfer List,Poor,EPL,25,173,73,13,5,49,8110,95.98,89,39,63,23,45,3,30
James Maddison,Manchester United,Defender,English,Both,16,6,3,Expiring,Fit,On Loan,No,Not On Transfer List,Poor,UEFA Champions League,19,190,87,42,9,86,7611,58,74,43,42,49,112,30,20
Pierre-Emerick Aubameyang,Chelsea,Forward,Portuguese,Right,61,8,0,Expiring,Fit,On Loan,Yes,Not On Transfer List,Poor,EPL,23,172,91,29,7,150,22183,64.54,58,15,70,2,64,31,128
Ederson,Manchester City,Midfielder,English,Left,94,12,3,Expiring,Suspended,On Loan,No,Not On Transfer List,Poor,EPL,28,183,84,31,14,249,5536,66.48,42,79,30,58,65,85,126
Diogo Jota,Arsenal,Midfielder,English,Left,57,5,2,On Loan,Injured,EPL,No,On Transfer List,Good,UEFA Champions League,24,184,67,19,6,170,7921,93.17,0,30,17,31,26,34,63
Jamie Vardy,Liverpool,Defender,Portuguese,Right,69,3,3,Active,Suspended,EPL,No,On Transfer List,Good,FA Cup,26,199,87,2,0,191,8356,94.61,30,60,26,73,93,99,10
Mohamed Salah,Chelsea,Goalkeeper,German,Both,70,5,4,Expiring,Suspended,On Loan,Yes,On Transfer List,Average,FA Cup,26,170,87,3,4,238,19668,54.4,57,23,24,99,91,14,12
Pierre-Emerick Aubameyang,Arsenal,Goalkeeper,Argentinian,Both,35,11,4,On Loan,Fit,On Loan,Yes,On Transfer List,Average,UEFA Champions League,35,177,67,24,12,14,4919,68.5,67,24,44,59,116,45,37
Roberto Firmino,Manchester United,Forward,Portuguese,Right,87,2,1,Active,Fit,EPL,No,Not On Transfer List,Good,EPL,33,173,62,20,14,277,24200,90.35,26,75,39,23,66,47,49
N'Golo Kante,Manchester United,Midfielder,Spanish,Both,37,12,1,Active,Fit,On Loan,No,On Transfer List,Excellent,EPL,21,178,99,5,18,60,19536,89.58,27,43,73,3,21,25,96
Thiago Silva,Arsenal,Midfielder,Spanish,Both,57,5,4,On Loan,Fit,On Loan,No,Not On Transfer List,Excellent,UEFA Champions League,33,172,65,25,7,38,2373,78.12,82,34,69,82,101,23,68
Roberto Firmino,Chelsea,Goalkeeper,English,Left,4,4,2,On Loan,Fit,On Loan,No,On Transfer List,Good,EPL,27,175,60,11,9,23,5660,94.58,87,43,56,58,119,63,14
Marcus Rashford,Manchester City,Goalkeeper,Spanish,Both,97,3,2,On Loan,Fit,On Loan,No,On Transfer List,Excellent,EPL,38,194,68,24,16,227,9002,83.99,50,29,72,89,69,70,141
Lucas Moura,Arsenal,Goalkeeper,Brazilian,Both,74,10,3,Expiring,Injured,On Loan,No,On Transfer List,Average,UEFA Champions League,29,164,63,8,1,74,3808,61.18,1,10,70,63,81,88,130
Youri Tielemans,Liverpool,Defender,German,Right,67,2,3,On Loan,Injured,On Loan,No,Not On Transfer List,Poor,FA Cup,39,197,83,18,6,234,21616,83.31,32,70,99,95,102,37,131
Harry Kane,Leicester City,Forward,French,Right,25,2,1,Expiring,Suspended,EPL,No,Not On Transfer List,Average,EPL,35,179,72,36,10,232,21225,53.5,4,7,58,81,39,66,9
Wilfred Ndidi,Manchester City,Goalkeeper,Spanish,Left,9,12,4,Active,Suspended,EPL,Yes,On Transfer List,Excellent,FA Cup,23,167,95,5,16,126,16786,71.83,93,83,71,44,59,94,109
Caglar Soyuncu,Leicester City,Defender,French,Left,83,12,2,On Loan,Fit,On Loan,Yes,Not On Transfer List,Poor,EPL,19,189,62,38,11,250,19347,61.89,68,38,33,37,93,51,2
Riyad Mahrez,Leicester City,Forward,Argentinian,Right,43,2,4,Expiring,Suspended,EPL,Yes,Not On Transfer List,Poor,FA Cup,20,174,86,12,19,193,24981,65.81,25,35,28,21,93,39,95
Granit Xhaka,Leicester City,Defender,Portuguese,Left,81,8,3,Expiring,Fit,EPL,No,Not On Transfer List,Excellent,UEFA Champions League,31,163,60,19,18,239,23186,67.43,4,93,21,27,89,99,120
Cesar Azpilicueta,Chelsea,Defender,Argentinian,Right,71,5,3,Active,Injured,On Loan,No,Not On Transfer List,Average,FA Cup,18,161,93,36,6,278,24742,71.34,93,94,57,63,61,61,87
Trent Alexander-Arnold,Arsenal,Goalkeeper,Portuguese,Left,15,7,2,Expiring,Injured,On Loan,Yes,Not On Transfer List,Average,FA Cup,20,178,69,47,10,283,21158,76.17,54,22,74,9,34,54,107
Phil Foden,Manchester City,Defender,Brazilian,Both,47,14,0,Expiring,Suspended,On Loan,No,Not On Transfer List,Excellent,UEFA Champions League,34,162,80,27,19,221,11850,77.97,62,87,86,93,75,32,40
Granit Xhaka,Manchester United,Forward,Brazilian,Left,21,14,2,On Loan,Fit,EPL,Yes,Not On Transfer List,Excellent,UEFA Champions League,24,194,84,39,2,179,12856,80.63,72,66,98,81,97,74,59
Diogo Jota,Liverpool,Forward,German,Right,59,1,2,Active,Fit,EPL,Yes,On Transfer List,Good,EPL,39,198,84,27,5,45,4444,98.88,82,57,83,72,81,1,35
Sadio Mane,Tottenham Hotspur,Midfielder,Argentinian,Left,49,2,3,On Loan,Suspended,EPL,Yes,On Transfer List,Average,FA Cup,32,182,97,37,0,99,25097,74.76,71,35,53,72,35,64,143
Dele Alli,Tottenham Hotspur,Forward,French,Left,81,9,3,On Loan,Injured,EPL,Yes,Not On Transfer List,Poor,FA Cup,24,170,65,38,2,64,625,73.41,66,5,66,67,146,83,49
N'Golo Kante,Manchester United,Midfielder,French,Right,99,13,3,Active,Injured,On Loan,Yes,On Transfer List,Poor,FA Cup,36,198,79,38,3,254,26023,50.28,82,46,33,25,87,34,56
Diogo Jota,Tottenham Hotspur,Defender,Spanish,Right,39,4,0,Active,Injured,On Loan,Yes,Not On Transfer List,Excellent,FA Cup,22,175,63,49,15,111,20539,65.82,98,4,13,76,76,61,137
Jordan Henderson,Manchester City,Forward,German,Both,70,6,0,Expiring,Injured,EPL,Yes,On Transfer List,Excellent,EPL,36,169,70,15,2,195,15897,80.15,50,49,35,74,45,31,14
Bukayo Saka,Manchester City,Forward,English,Left,61,0,1,Expiring,Injured,On Loan,Yes,Not On Transfer List,Average,FA Cup,27,165,95,26,11,289,18638,64.9,55,65,9,42,11,60,77
Eric Dier,Manchester City,Defender,English,Left,32,8,2,Active,Suspended,On Loan,No,Not On Transfer List,Poor,UEFA Champions League,27,160,66,46,4,31,18148,63.66,83,59,56,76,63,60,12
Sadio Mane,Liverpool,Midfielder,Argentinian,Right,25,5,4,Active,Fit,On Loan,Yes,Not On Transfer List,Good,UEFA Champions League,31,195,73,28,4,246,23645,81.04,32,54,37,52,125,79,131
Ruben Dias,Tottenham Hotspur,Defender,German,Both,59,4,0,On Loan,Fit,EPL,Yes,On Transfer List,Average,EPL,35,173,62,0,19,164,16390,86.22,48,71,13,67,19,92,84
David de Gea,Chelsea,Forward,Argentinian,Right,45,2,1,Expiring,Fit,EPL,Yes,Not On Transfer List,Excellent,EPL,27,194,84,17,12,122,7586,63.56,43,81,76,77,40,47,5
Lucas Moura,Chelsea,Goalkeeper,Spanish,Right,77,14,4,Active,Injured,On Loan,No,On Transfer List,Average,FA Cup,39,160,75,49,15,189,9647,53.56,47,97,13,5,32,25,103
Riyad Mahrez,Manchester City,Forward,Argentinian,Both,8,0,1,Expiring,Injured,On Loan,No,On Transfer List,Poor,EPL,33,192,84,34,3,88,10882,63.6,40,59,21,53,113,6,109
Gabriel Martinelli,Manchester United,Defender,German,Both,98,8,2,Expiring,Injured,EPL,Yes,Not On Transfer List,Average,EPL,39,186,84,22,8,155,13356,50.2,47,45,92,11,102,2,90
Mohamed Salah,Chelsea,Midfielder,Spanish,Both,71,2,1,Expiring,Suspended,On Loan,Yes,On Transfer List,Good,EPL,29,193,90,44,14,238,9597,82.76,94,74,75,57,62,24,14
Ruben Dias,Liverpool,Goalkeeper,French,Both,24,9,3,Active,Injured,On Loan,Yes,On Transfer List,Poor,FA Cup,28,174,71,22,15,140,26915,50.05,1,23,10,39,66,54,111
Mason Greenwood,Chelsea,Defender,Argentinian,Both,80,0,0,On Loan,Injured,On Loan,Yes,On Transfer List,Average,EPL,22,170,69,0,9,15,25962,86.18,66,35,81,48,44,54,101
Emile Smith Rowe,Arsenal,Defender,English,Both,17,9,0,On Loan,Suspended,EPL,No,On Transfer List,Average,FA Cup,37,189,77,12,12,295,14856,94.73,14,95,82,23,49,61,105
Kieran Tierney,Tottenham Hotspur,Midfielder,Brazilian,Both,79,9,0,Active,Suspended,EPL,Yes,On Transfer List,Excellent,FA Cup,24,178,81,1,10,253,11626,75.17,1,19,61,11,23,36,24
Diogo Jota,Leicester City,Midfielder,German,Left,14,3,4,Active,Injured,On Loan,Yes,Not On Transfer List,Average,UEFA Champions League,23,186,80,41,13,102,11322,87.96,95,55,79,82,3,84,116
Kai Havertz,Manchester United,Goalkeeper,Argentinian,Left,70,0,3,On Loan,Suspended,EPL,Yes,On Transfer List,Good,FA Cup,38,175,61,8,11,122,14474,54.3,73,31,41,50,119,70,44
Ruben Dias,Manchester United,Forward,English,Both,9,2,4,Expiring,Injured,On Loan,No,On Transfer List,Average,EPL,20,166,70,36,13,132,19975,94.31,38,70,81,23,1,90,43
Lucas Moura,Chelsea,Midfielder,Spanish,Both,60,1,1,Active,Fit,EPL,No,Not On Transfer List,Excellent,FA Cup,26,177,99,39,10,76,22177,84.98,30,54,45,21,109,20,123
Paul Pogba,Chelsea,Goalkeeper,French,Right,27,5,0,Active,Fit,EPL,No,Not On Transfer List,Good,FA Cup,38,194,76,23,11,4,3240,71.63,3,2,86,36,53,12,103
Mohamed Salah,Arsenal,Goalkeeper,Spanish,Both,56,13,2,On Loan,Injured,On Loan,No,On Transfer List,Poor,UEFA Champions League,25,178,68,19,13,36,10509,98.89,41,21,67,88,63,44,24
Kai Havertz,Manchester City,Midfielder,French,Left,12,0,4,Expiring,Injured,On Loan,Yes,On Transfer List,Average,EPL,25,190,65,47,3,11,25983,55.86,14,68,34,94,25,30,135
Harvey Barnes,Manchester United,Goalkeeper,Portuguese,Right,47,14,0,Expiring,Injured,On Loan,Yes,Not On Transfer List,Average,FA Cup,23,199,98,44,5,73,8017,99.25,67,82,3,20,57,21,97
Trent Alexander-Arnold,Chelsea,Midfielder,Spanish,Both,17,10,3,Active,Fit,On Loan,No,Not On Transfer List,Poor,FA Cup,28,171,94,27,13,289,20841,97.63,85,93,88,14,87,18,93
Gabriel Martinelli,Manchester United,Defender,Brazilian,Right,64,6,3,On Loan,Suspended,On Loan,No,On Transfer List,Average,UEFA Champions League,26,162,70,42,12,210,5487,50.06,54,99,65,97,129,44,84
Virgil van Dijk,Chelsea,Goalkeeper,Portuguese,Both,13,1,2,Active,Injured,EPL,No,On Transfer List,Good,EPL,28,161,70,32,17,96,21014,62.87,45,21,93,9,135,62,81
Bruno Fernandes,Leicester City,Defender,Brazilian,Left,58,1,2,Active,Injured,EPL,Yes,Not On Transfer List,Average,UEFA Champions League,21,197,83,38,17,105,15184,85.27,41,70,62,85,28,78,87
Gabriel Martinelli,Manchester United,Forward,German,Left,62,12,0,On Loan,Injured,On Loan,Yes,On Transfer List,Good,EPL,28,192,92,3,9,75,8765,87.02,29,69,96,17,98,0,78
Ruben Dias,Leicester City,Forward,English,Right,71,1,4,On Loan,Suspended,On Loan,No,Not On Transfer List,Average,UEFA Champions League,20,161,81,19,10,153,3770,74.99,12,35,70,94,78,30,128
Ederson,Arsenal,Defender,French,Both,64,8,3,Active,Injured,EPL,Yes,On Transfer List,Poor,EPL,24,164,95,33,13,57,21043,96.22,32,91,54,22,30,88,8
Wilfred Ndidi,Arsenal,Forward,German,Right,74,3,4,Active,Suspended,On Loan,No,On Transfer List,Excellent,UEFA Champions League,20,198,96,28,10,109,25602,74.42,94,80,60,37,50,15,80
Kieran Tierney,Manchester United,Midfielder,French,Left,62,4,2,Active,Suspended,On Loan,Yes,On Transfer List,Average,UEFA Champions League,28,164,98,37,6,260,15683,77.25,46,29,12,30,103,61,101
Lucas Moura,Tottenham Hotspur,Forward,Portuguese,Left,11,2,2,On Loan,Injured,On Loan,Yes,On Transfer List,Excellent,FA Cup,28,199,65,0,0,99,16013,81.9,79,1,56,75,30,93,59
Thiago Silva,Arsenal,Defender,French,Left,47,9,0,Expiring,Injured,EPL,Yes,Not On Transfer List,Good,UEFA Champions League,32,160,71,44,14,40,8579,65.44,29,13,83,26,71,37,51
David de Gea,Arsenal,Forward,Spanish,Right,31,1,2,Expiring,Fit,On Loan,No,Not On Transfer List,Average,EPL,29,178,76,38,1,179,26462,81.66,23,37,10,83,105,16,133
Kasper Schmeichel,Liverpool,Goalkeeper,Spanish,Left,40,14,2,Active,Injured,On Loan,Yes,On Transfer List,Poor,UEFA Champions League,38,191,63,37,7,164,25264,92.9,50,92,36,60,82,13,61
Virgil van Dijk,Manchester City,Forward,French,Right,35,11,1,On Loan,Suspended,On Loan,No,Not On Transfer List,Excellent,UEFA Champions League,31,179,73,48,6,266,18775,86.88,55,22,74,90,58,61,118
Mason Mount,Chelsea,Defender,Brazilian,Left,50,4,1,Expiring,Suspended,EPL,No,On Transfer List,Excellent,EPL,18,179,81,37,10,191,1568,77.32,99,82,2,39,69,66,17
Ruben Dias,Chelsea,Midfielder,English,Right,89,8,2,Active,Fit,On Loan,No,On Transfer List,Excellent,UEFA Champions League,21,188,89,27,1,132,25541,79.96,57,79,31,3,68,78,77
N'Golo Kante,Manchester United,Goalkeeper,French,Both,60,12,1,Active,Injured,On Loan,Yes,On Transfer List,Average,FA Cup,20,163,67,49,18,101,555,86.84,91,78,26,71,101,29,121
Hugo Lloris,Tottenham Hotspur,Forward,Brazilian,Right,22,8,4,Expiring,Suspended,On Loan,Yes,Not On Transfer List,Excellent,UEFA Champions League,35,178,84,28,14,298,3786,80.79,98,28,47,38,75,72,68
Bukayo Saka,Leicester City,Defender,Portuguese,Right,97,4,2,Active,Fit,On Loan,No,On Transfer List,Average,EPL,38,199,98,5,8,7,4384,95.17,10,51,30,87,76,22,6
Kasper Schmeichel,Arsenal,Forward,Spanish,Right,37,11,3,Active,Suspended,On Loan,No,On Transfer List,Excellent,FA Cup,38,164,91,17,11,80,25529,84.95,22,50,89,55,109,39,58
Phil Foden,Leicester City,Goalkeeper,Portuguese,Both,85,6,4,On Loan,Fit,EPL,No,On Transfer List,Average,UEFA Champions League,28,168,78,30,12,185,255,89.08,13,32,50,39,66,23,24
Caglar Soyuncu,Arsenal,Forward,Argentinian,Right,81,5,1,Expiring,Suspended,On Loan,Yes,On Transfer List,Excellent,FA Cup,35,174,91,37,16,29,8493,87.99,19,29,53,53,10,40,121
Mohamed Salah,Leicester City,Forward,Argentinian,Left,26,2,1,On Loan,Injured,EPL,Yes,On Transfer List,Good,UEFA Champions League,35,160,63,15,2,118,9993,57.18,26,48,79,57,118,53,60
Raheem Sterling,Chelsea,Forward,Spanish,Left,93,1,0,Expiring,Injured,EPL,Yes,Not On Transfer List,Good,EPL,19,192,63,31,11,167,4499,76.82,67,25,40,7,37,47,82
Harry Kane,Arsenal,Goalkeeper,Brazilian,Both,48,11,0,Expiring,Fit,On Loan,Yes,On Transfer List,Average,EPL,37,161,83,38,11,188,10085,86.7,2,28,13,59,42,78,16
Jamie Vardy,Liverpool,Goalkeeper,German,Left,57,14,0,Expiring,Suspended,EPL,Yes,On Transfer List,Excellent,FA Cup,18,196,71,9,15,171,25212,98.72,25,23,18,26,55,11,129
Giovani Lo Celso,Manchester City,Forward,French,Both,66,10,1,On Loan,Fit,On Loan,Yes,On Transfer List,Excellent,UEFA Champions League,39,191,98,7,17,42,25483,64.49,4,58,28,37,22,12,149
Riyad Mahrez,Liverpool,Midfielder,Spanish,Left,45,1,1,On Loan,Suspended,EPL,No,On Transfer List,Poor,UEFA Champions League,37,178,71,6,3,113,21418,69.24,53,73,45,0,35,44,120
Virgil van Dijk,Manchester United,Defender,English,Left,63,0,2,Expiring,Fit,EPL,No,On Transfer List,Good,EPL,38,167,62,7,7,259,1523,86.8,72,10,0,41,89,62,117
Heung-Min Son,Manchester United,Defender,English,Both,98,12,2,Expiring,Suspended,On Loan,No,On Transfer List,Poor,EPL,21,190,92,39,6,259,2732,97.21,26,54,79,93,2,92,54
N'Golo Kante,Chelsea,Forward,Argentinian,Both,54,9,3,On Loan,Fit,EPL,Yes,Not On Transfer List,Good,EPL,26,166,89,41,17,278,26020,89.21,52,61,48,20,37,35,61
Trent Alexander-Arnold,Tottenham Hotspur,Defender,French,Right,42,7,4,Active,Injured,EPL,Yes,On Transfer List,Average,EPL,27,163,80,15,12,164,20158,69.03,92,48,95,0,10,66,34
Caglar Soyuncu,Manchester City,Midfielder,French,Left,55,10,3,Expiring,Injured,EPL,No,On Transfer List,Excellent,UEFA Champions League,20,181,77,21,3,174,6916,71.02,71,56,95,86,90,35,23
Trent Alexander-Arnold,Chelsea,Defender,Argentinian,Right,53,1,2,On Loan,Suspended,EPL,Yes,Not On Transfer List,Average,UEFA Champions League,27,178,97,19,11,294,21873,81.91,0,52,66,8,124,82,80
Youri Tielemans,Leicester City,Goalkeeper,Spanish,Right,36,3,2,Active,Suspended,EPL,Yes,Not On Transfer List,Poor,FA Cup,30,190,80,47,2,163,15144,74.65,61,82,40,18,62,37,111
Kai Havertz,Arsenal,Forward,Spanish,Left,37,12,4,Expiring,Injured,EPL,No,On Transfer List,Excellent,FA Cup,37,197,87,45,9,254,26296,57.54,62,37,59,51,118,91,93
